,Bundesland,Landkreis,date,infected,log(infected+1)
2909,Schleswig-Holstein,Pinneberg,17-03,28.0,3.367295829986474
2910,Schleswig-Holstein,Plön,17-03,8.0,2.1972245773362196
2911,Brandenburg,Potsdam Städte,17-03,0.0,0.0
2912,Brandenburg,Potsdam-Mittelmark,17-03,4.0,1.6094379124341003
2913,Brandenburg,Prignitz,17-03,0.0,0.0
2914,Baden-Württemberg,Rastatt,17-03,34.0,3.5553480614894135
2915,Baden-Württemberg,Ravensburg,17-03,14.0,2.70805020110221
2916,Nordrhein-Westfalen,Recklinghausen,17-03,43.0,3.784189633918261
2917,Bayern,Regen,17-03,18.0,2.9444389791664403
2918,Bayern,Regensburg,17-03,4.0,1.6094379124341003
2919,Bayern,Regensburg Städte,17-03,6.0,1.9459101490553132
2920,Baden-Württemberg,Rems-Murr-Kreis,17-03,39.0,3.6888794541139363
2921,Nordrhein-Westfalen,Remscheid Städte,17-03,9.0,2.302585092994046
2922,Schleswig-Holstein,Rendsburg-Eckernförde,17-03,13.0,2.6390573296152584
2923,Baden-Württemberg,Reutlingen,17-03,31.0,3.4657359027997265
2924,Nordrhein-Westfalen,Rhein-Erft-Kreis,17-03,18.0,2.9444389791664403
2925,Rheinland-Pfalz,Rhein-Hunsrück,17-03,24.0,3.2188758248682006
2926,Nordrhein-Westfalen,Rhein-Kreis Neuss,17-03,21.0,3.091042453358316
2927,Rheinland-Pfalz,Rhein-Lahn,17-03,10.0,2.3978952727983707
2928,Baden-Württemberg,Rhein-Neckar-Kreis,17-03,55.0,4.02535169073515
2929,Rheinland-Pfalz,Rhein-Pfalz-Kreis,17-03,2.0,1.0986122886681098
2930,Nordrhein-Westfalen,Rhein-Sieg,17-03,1.0,0.6931471805599453
2931,Hessen,Rheingau-Taunus-Kreis,17-03,19.0,2.995732273553991
2932,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,17-03,40.0,3.713572066704308
2933,Bayern,Rhön-Grabfeld,17-03,3.0,1.3862943611198906
2934,Sachsen,Chemnitz Städte,17-03,13.0,2.6390573296152584
2935,Bayern,Rosenheim,17-03,36.0,3.6109179126442243
2936,Bayern,Rosenheim Städte,17-03,1.0,0.6931471805599453
2937,Niedersachsen,Rotenburg,17-03,12.0,2.5649493574615367
2938,Bayern,Roth,17-03,5.0,1.791759469228055
2939,Bayern,Rottal-Inn,17-03,14.0,2.70805020110221
2940,Baden-Württemberg,Rottweil,17-03,1.0,0.6931471805599453
2941,Thüringen,Saale-Holzland,17-03,3.0,1.3862943611198906
2942,Thüringen,Saale-Orla,17-03,3.0,1.3862943611198906
2943,Thüringen,Saalfeld-Rudolstadt,17-03,5.0,1.791759469228055
2944,Sachsen-Anhalt,Altmarkkreis Salzwedel,17-03,1.0,0.6931471805599453
2945,Saarland,Saarbrücken Städte,17-03,22.0,3.1354942159291497
2946,Saarland,Saarlouis,17-03,14.0,2.70805020110221
2947,Saarland,Saarpfalz,17-03,15.0,2.772588722239781
2948,Sachsen,Döbeln,17-03,0.0,0.0
2949,Niedersachsen,Salzgitter Städte,17-03,2.0,1.0986122886681098
2950,Sachsen-Anhalt,Dessau Städte,17-03,0.0,0.0
2951,Saarland,Sankt Wendel,17-03,17.0,2.8903717578961645
2952,Niedersachsen,Schaumburg,17-03,1.0,0.6931471805599453
2953,Schleswig-Holstein,Schleswig-Flensburg,17-03,17.0,2.8903717578961645
2954,Thüringen,Schmalkalden-Meiningen,17-03,1.0,0.6931471805599453
2955,Sachsen-Anhalt,Halle Städte,17-03,19.0,2.995732273553991
2956,Bayern,Schwabach Städte,17-03,2.0,1.0986122886681098
2957,Baden-Württemberg,Schwäbisch Hall,17-03,33.0,3.5263605246161616
2958,Hessen,Schwalm-Eder-Kreis,17-03,15.0,2.772588722239781
2959,Bayern,Schwandorf,17-03,0.0,0.0
2960,Baden-Württemberg,Schwarzwald-Baar-Kreis,17-03,15.0,2.772588722239781
2961,Bayern,Schweinfurt,17-03,4.0,1.6094379124341003
2962,Bayern,Schweinfurt Städte,17-03,0.0,0.0
2963,Schleswig-Holstein,Segeberg,17-03,10.0,2.3978952727983707
2964,Nordrhein-Westfalen,Siegen-Wittgenstein,17-03,15.0,2.772588722239781
2965,Baden-Württemberg,Sigmaringen,17-03,22.0,3.1354942159291497
2966,Nordrhein-Westfalen,Soest,17-03,9.0,2.302585092994046
2967,Nordrhein-Westfalen,Solingen Städte,17-03,9.0,2.302585092994046
2968,Niedersachsen,Soltau-Fallingbostel,17-03,1.0,0.6931471805599453
2969,Thüringen,Sömmerda,17-03,0.0,0.0
2970,Thüringen,Sonneberg,17-03,0.0,0.0
2971,Rheinland-Pfalz,Speyer Spires Städte,17-03,2.0,1.0986122886681098
2972,Brandenburg,Spree-Neiße,17-03,4.0,1.6094379124341003
2973,Niedersachsen,Stade,17-03,22.0,3.1354942159291497
2974,Bayern,Starnberg,17-03,45.0,3.828641396489095
2975,Schleswig-Holstein,Steinburg,17-03,28.0,3.367295829986474
2976,Nordrhein-Westfalen,Steinfurt,17-03,21.0,3.091042453358316
2977,Sachsen-Anhalt,Jerichower Land,17-03,1.0,0.6931471805599453
2978,Sachsen,Dresden Städte,17-03,22.0,3.1354942159291497
2979,Schleswig-Holstein,Stormarn,17-03,0.0,0.0
2980,Bayern,Straubing Städte,17-03,6.0,1.9459101490553132
2981,Bayern,Straubing-Bogen,17-03,3.0,1.3862943611198906
2982,Baden-Württemberg,Stuttgart Städte,17-03,151.0,5.0238805208462765
2983,Rheinland-Pfalz,Südliche Weinstraße,17-03,21.0,3.091042453358316
2984,Rheinland-Pfalz,Südwestpfalz,17-03,1.0,0.6931471805599453
2985,Thüringen,Suhl Städte,17-03,1.0,0.6931471805599453
2986,Brandenburg,Teltow-Fläming,17-03,2.0,1.0986122886681098
2987,Bayern,Tirschenreuth,17-03,27.0,3.332204510175204
2988,Sachsen,Freiberg,17-03,0.0,0.0
2989,Bayern,Traunstein,17-03,13.0,2.6390573296152584
2990,Rheinland-Pfalz,Trier Städte,17-03,6.0,1.9459101490553132
2991,Rheinland-Pfalz,Trier-Saarburg,17-03,8.0,2.1972245773362196
2992,Baden-Württemberg,Tübingen,17-03,67.0,4.219507705176107
2993,Baden-Württemberg,Tuttlingen,17-03,5.0,1.791759469228055
2994,Brandenburg,Uckermark,17-03,0.0,0.0
2995,Mecklenburg-Vorpommern,Rostock Städte,17-03,5.0,1.791759469228055
2996,Niedersachsen,Uelzen,17-03,1.0,0.6931471805599453
2997,Baden-Württemberg,Ulm Städte,17-03,12.0,2.5649493574615367
2998,Nordrhein-Westfalen,Unna,17-03,15.0,2.772588722239781
2999,Thüringen,Unstrut-Hainich,17-03,0.0,0.0
3000,Bayern,Unterallgäu,17-03,18.0,2.9444389791664403
3001,Niedersachsen,Vechta,17-03,6.0,1.9459101490553132
3002,Niedersachsen,Verden,17-03,11.0,2.4849066497880004
3003,Nordrhein-Westfalen,Viersen,17-03,13.0,2.6390573296152584
3004,Hessen,Vogelsbergkreis,17-03,4.0,1.6094379124341003
3005,Sachsen,Leipzig Städte,17-03,52.0,3.970291913552122
3006,Rheinland-Pfalz,Vulkaneifel,17-03,10.0,2.3978952727983707
3007,Hessen,Waldeck-Frankenberg,17-03,6.0,1.9459101490553132
3008,Baden-Württemberg,Waldshut,17-03,4.0,1.6094379124341003
3009,Nordrhein-Westfalen,Warendorf,17-03,50.0,3.9318256327243257
3010,Thüringen,Wartburgkreis,17-03,1.0,0.6931471805599453
3011,Bayern,Weiden Städte,17-03,7.0,2.0794415416798357
3012,Bayern,Weilheim-Schongau,17-03,16.0,2.833213344056216
3013,Thüringen,Weimar Städte,17-03,2.0,1.0986122886681098
3014,Thüringen,Weimarer Land,17-03,1.0,0.6931471805599453
